CMDLINE python tracing_client_bench_mem.py
MEM 0.250000 1732392421.9584
MEM 29.187500 1732392422.0636
MEM 42.406250 1732392422.1688
MEM 53.484375 1732392422.2738
MEM 59.125000 1732392422.3789
MEM 65.125000 1732392422.4840
MEM 69.859375 1732392422.5890
MEM 70.640625 1732392422.6942
MEM 74.421875 1732392422.7993
MEM 75.937500 1732392422.8994
MEM 104.187500 1732392423.0042
MEM 105.343750 1732392423.1093
MEM 107.046875 1732392423.2144
MEM 107.859375 1732392423.3195
MEM 109.546875 1732392423.4246
MEM 113.187500 1732392423.5249
MEM 114.890625 1732392423.6300
MEM 115.015625 1732392423.7351
MEM 118.453125 1732392423.8402
MEM 120.281250 1732392423.9403
MEM 124.015625 1732392424.0442
MEM 123.375000 1732392424.1494
MEM 123.375000 1732392424.2545
MEM 125.375000 1732392424.3596
MEM 125.000000 1732392424.4647
MEM 128.343750 1732392424.5698
MEM 131.078125 1732392424.6749
MEM 130.859375 1732392424.7751
MEM 133.171875 1732392424.8803
MEM 135.515625 1732392424.9810
MEM 137.343750 1732392425.0861
MEM 138.468750 1732392425.1913
MEM 142.984375 1732392425.2964
MEM 144.656250 1732392425.4015
MEM 146.312500 1732392425.5066
MEM 147.968750 1732392425.6117
MEM 148.812500 1732392425.7168
MEM 149.687500 1732392425.8169
MEM 150.296875 1732392425.9222
MEM 150.718750 1732392426.0273
MEM 152.953125 1732392426.1324
MEM 153.281250 1732392426.2375
MEM 153.468750 1732392426.3427
MEM 153.468750 1732392426.4432
MEM 155.390625 1732392426.5483
MEM 155.796875 1732392426.6534
MEM 158.437500 1732392426.7586
MEM 160.296875 1732392426.8637
MEM 154.921875 1732392426.9687
MEM 158.796875 1732392427.0739
MEM 160.640625 1732392427.1790
MEM 157.140625 1732392427.2798
MEM 157.328125 1732392427.3844
MEM 158.984375 1732392427.4895
MEM 160.656250 1732392427.5896
MEM 162.312500 1732392427.6947
MEM 164.750000 1732392427.7998
MEM 164.750000 1732392427.9049
MEM 164.765625 1732392428.0099
MEM 164.781250 1732392428.1150
MEM 165.593750 1732392428.2201
MEM 165.625000 1732392428.3251
MEM 160.921875 1732392428.4303
MEM 161.015625 1732392428.5354
MEM 162.921875 1732392428.6357
MEM 139.593750 1732392428.7373
MEM 146.812500 1732392428.8424
MEM 148.312500 1732392428.9475
MEM 149.578125 1732392429.0503
MEM 152.406250 1732392429.1548
MEM 153.359375 1732392429.2598
MEM 153.250000 1732392429.3649
MEM 155.546875 1732392429.4683
MEM 157.546875 1732392429.5737
MEM 161.031250 1732392429.6789
MEM 167.953125 1732392429.7839
MEM 174.375000 1732392429.8891
MEM 176.031250 1732392429.9942
MEM 170.812500 1732392430.0964
MEM 172.515625 1732392430.2015
MEM 174.234375 1732392430.3066
MEM 166.093750 1732392430.4073
MEM 167.781250 1732392430.5124
MEM 168.093750 1732392430.6132
MEM 168.968750 1732392430.7183
MEM 162.093750 1732392430.8198
MEM 163.921875 1732392430.9219
MEM 172.875000 1732392431.0232
MEM 172.531250 1732392431.1242
MEM 169.093750 1732392431.2293
MEM 170.500000 1732392431.3344
MEM 170.406250 1732392431.4396
MEM 171.359375 1732392431.5447
MEM 171.671875 1732392431.6498
MEM 178.031250 1732392431.7549
MEM 181.296875 1732392431.8600
MEM 184.296875 1732392431.9651
MEM 186.593750 1732392432.0702
MEM 190.218750 1732392432.1753
MEM 193.890625 1732392432.2804
MEM 193.453125 1732392432.3854
MEM 196.437500 1732392432.4882
MEM 203.015625 1732392432.5884
MEM 206.937500 1732392432.6912
MEM 207.296875 1732392432.7918
MEM 211.000000 1732392432.8969
MEM 213.000000 1732392433.0021
MEM 216.328125 1732392433.1072
MEM 219.453125 1732392433.2092
MEM 223.171875 1732392433.3143
MEM 225.796875 1732392433.4194
MEM 225.703125 1732392433.5196
MEM 190.859375 1732392433.6247
MEM 196.515625 1732392433.7298
MEM 199.093750 1732392433.8349
MEM 201.093750 1732392433.9401
MEM 205.250000 1732392434.0452
MEM 187.328125 1732392434.1503
MEM 189.000000 1732392434.2553
MEM 190.734375 1732392434.3583
MEM 196.687500 1732392434.4634
MEM 196.687500 1732392434.5684
MEM 197.468750 1732392434.6735
MEM 203.828125 1732392434.7780
MEM 199.046875 1732392434.8801
MEM 202.421875 1732392434.9854
MEM 203.625000 1732392435.0855
MEM 207.328125 1732392435.1906
MEM 209.312500 1732392435.2957
MEM 212.718750 1732392435.4008
MEM 217.796875 1732392435.5059
MEM 217.937500 1732392435.6110
MEM 219.703125 1732392435.7160
MEM 221.546875 1732392435.8181
MEM 218.031250 1732392435.9205
MEM 218.562500 1732392436.0211
MEM 219.968750 1732392436.1224
MEM 225.515625 1732392436.2275
MEM 227.953125 1732392436.3326
MEM 232.984375 1732392436.4363
MEM 235.140625 1732392436.5365
MEM 222.703125 1732392436.6411
MEM 220.828125 1732392436.7415
MEM 213.484375 1732392436.8467
MEM 214.843750 1732392436.9516
MEM 215.406250 1732392437.0520
MEM 193.156250 1732392437.1532
MEM 196.437500 1732392437.2570
MEM 199.109375 1732392437.3621
MEM 202.046875 1732392437.4672
MEM 204.656250 1732392437.5724
MEM 202.984375 1732392437.6726
MEM 176.031250 1732392437.7729
MEM 169.875000 1732392437.8770
MEM 167.843750 1732392437.9778
MEM 161.500000 1732392438.0808
MEM 161.750000 1732392438.1859
MEM 152.687500 1732392438.2911
MEM 152.421875 1732392438.3962
MEM 153.890625 1732392438.5002
MEM 155.687500 1732392438.6053
MEM 159.687500 1732392438.7104
MEM 163.140625 1732392438.8155
MEM 164.906250 1732392438.9178
MEM 170.250000 1732392439.0229
MEM 167.343750 1732392439.1245
MEM 166.781250 1732392439.2249
MEM 166.187500 1732392439.3301
MEM 170.156250 1732392439.4311
MEM 173.500000 1732392439.5364
MEM 174.640625 1732392439.6415
MEM 180.578125 1732392439.7466
MEM 185.171875 1732392439.8511
MEM 185.593750 1732392439.9536
MEM 186.765625 1732392440.0538
MEM 187.421875 1732392440.1589
MEM 184.968750 1732392440.2598
MEM 184.984375 1732392440.3606
MEM 187.281250 1732392440.4658
MEM 193.609375 1732392440.5709
MEM 184.453125 1732392440.6711
MEM 177.796875 1732392440.7762
MEM 180.828125 1732392440.8809
MEM 184.578125 1732392440.9827
MEM 181.109375 1732392441.0878
MEM 185.156250 1732392441.1929
MEM 186.890625 1732392441.2980
MEM 190.046875 1732392441.4031
MEM 189.546875 1732392441.5082
MEM 192.062500 1732392441.6133
MEM 185.453125 1732392441.7138
MEM 188.953125 1732392441.8177
MEM 194.906250 1732392441.9228
MEM 198.250000 1732392442.0279
MEM 202.859375 1732392442.1282
MEM 201.515625 1732392442.2334
MEM 199.000000 1732392442.3340
MEM 202.828125 1732392442.4349
MEM 193.531250 1732392442.5356
MEM 183.734375 1732392442.6408
MEM 189.828125 1732392442.7447
MEM 194.484375 1732392442.8500
MEM 195.046875 1732392442.9551
MEM 188.296875 1732392443.0602
MEM 187.734375 1732392443.1655
MEM 184.468750 1732392443.2707
MEM 185.203125 1732392443.3710
MEM 188.796875 1732392443.4760
MEM 190.187500 1732392443.5804
MEM 189.859375 1732392443.6811
MEM 176.718750 1732392443.7862
MEM 179.906250 1732392443.8914
MEM 176.687500 1732392443.9919
MEM 173.718750 1732392444.0970
MEM 176.375000 1732392444.2021
MEM 177.640625 1732392444.3061
MEM 177.828125 1732392444.4112
MEM 180.437500 1732392444.5163
MEM 183.765625 1732392444.6215
MEM 185.500000 1732392444.7218
MEM 185.968750 1732392444.8250
MEM 189.203125 1732392444.9301
MEM 192.031250 1732392445.0339
MEM 195.078125 1732392445.1360
MEM 196.546875 1732392445.2411
MEM 203.093750 1732392445.3429
MEM 204.109375 1732392445.4480
MEM 208.734375 1732392445.5531
MEM 213.718750 1732392445.6582
MEM 218.328125 1732392445.7634
MEM 220.250000 1732392445.8685
MEM 225.890625 1732392445.9702
MEM 231.093750 1732392446.0753
MEM 233.421875 1732392446.1805
MEM 235.718750 1732392446.2856
MEM 237.984375 1732392446.3906
MEM 244.484375 1732392446.4958
MEM 245.328125 1732392446.6009
MEM 248.265625 1732392446.7059
MEM 251.765625 1732392446.8111
MEM 254.515625 1732392446.9162
MEM 257.687500 1732392447.0213
MEM 261.328125 1732392447.1263
MEM 263.468750 1732392447.2314
MEM 266.328125 1732392447.3365
MEM 270.281250 1732392447.4416
MEM 273.687500 1732392447.5466
MEM 278.781250 1732392447.6470
MEM 283.843750 1732392447.7522
MEM 285.921875 1732392447.8547
MEM 281.875000 1732392447.9572
MEM 281.218750 1732392448.0624
MEM 283.546875 1732392448.1675
MEM 285.203125 1732392448.2725
MEM 285.218750 1732392448.3776
MEM 286.875000 1732392448.4827
MEM 285.890625 1732392448.5878
MEM 286.906250 1732392448.6929
MEM 287.359375 1732392448.7980
MEM 287.000000 1732392448.9031
MEM 287.984375 1732392449.0082
MEM 285.578125 1732392449.1134
MEM 287.859375 1732392449.2184
MEM 288.734375 1732392449.3235
MEM 287.828125 1732392449.4286
MEM 254.421875 1732392449.5293
MEM 257.890625 1732392449.6344
MEM 258.046875 1732392449.7381
MEM 264.359375 1732392449.8433
MEM 265.296875 1732392449.9484
MEM 258.453125 1732392450.0487
MEM 258.640625 1732392450.1538
MEM 262.953125 1732392450.2589
MEM 264.296875 1732392450.3640
MEM 267.359375 1732392450.4691
MEM 269.484375 1732392450.5742
MEM 273.593750 1732392450.6793
MEM 277.593750 1732392450.7845
MEM 273.671875 1732392450.8896
MEM 277.500000 1732392450.9948
MEM 282.937500 1732392451.0999
MEM 285.484375 1732392451.2050
MEM 288.765625 1732392451.3100
MEM 286.671875 1732392451.4103
MEM 289.859375 1732392451.5154
MEM 285.593750 1732392451.6166
MEM 291.125000 1732392451.7217
MEM 291.640625 1732392451.8266
MEM 292.593750 1732392451.9317
MEM 296.406250 1732392452.0369
MEM 299.875000 1732392452.1378
MEM 299.828125 1732392452.2429
MEM 304.765625 1732392452.3481
MEM 313.234375 1732392452.4490
MEM 320.734375 1732392452.5511
MEM 325.484375 1732392452.6562
MEM 327.281250 1732392452.7596
MEM 326.671875 1732392452.8639
MEM 330.281250 1732392452.9689
MEM 332.343750 1732392453.0741
MEM 304.140625 1732392453.1742
MEM 257.468750 1732392453.2794
MEM 224.578125 1732392453.3841
MEM 207.218750 1732392453.4893
MEM 196.265625 1732392453.5944
MEM 179.265625 1732392453.6952
MEM 164.000000 1732392453.7969
MEM 148.843750 1732392453.8971
MEM 140.593750 1732392454.0015
MEM 137.828125 1732392454.1050
MEM 130.843750 1732392454.2102
MEM 132.515625 1732392454.3153
MEM 125.750000 1732392454.4205
MEM 120.375000 1732392454.5257
MEM 120.031250 1732392454.6308
MEM 120.171875 1732392454.7359
MEM 121.718750 1732392454.8410
MEM 123.265625 1732392454.9461
MEM 126.562500 1732392455.0512
MEM 128.187500 1732392455.1563
MEM 121.250000 1732392455.2610
MEM 124.562500 1732392455.3661
MEM 120.859375 1732392455.4714
MEM 130.453125 1732392455.5765
MEM 131.265625 1732392455.6816
MEM 136.750000 1732392455.7866
MEM 137.656250 1732392455.8917
MEM 146.421875 1732392455.9969
MEM 149.421875 1732392456.1020
MEM 153.593750 1732392456.2070
MEM 161.140625 1732392456.3121
MEM 165.062500 1732392456.4173
MEM 167.765625 1732392456.5224
MEM 170.953125 1732392456.6275
MEM 160.703125 1732392456.7313
MEM 157.406250 1732392456.8364
