CMDLINE python tracing_client_bench_mem.py
MEM 0.250000 1732392297.2589
MEM 30.593750 1732392297.3617
MEM 43.562500 1732392297.4669
MEM 51.609375 1732392297.5720
MEM 57.703125 1732392297.6721
MEM 58.015625 1732392297.7773
MEM 68.765625 1732392297.8825
MEM 69.890625 1732392297.9876
MEM 72.750000 1732392298.0878
MEM 73.984375 1732392298.1898
MEM 76.250000 1732392298.2949
MEM 77.375000 1732392298.4000
MEM 78.500000 1732392298.5007
MEM 109.359375 1732392298.6027
MEM 110.562500 1732392298.7077
MEM 111.703125 1732392298.8128
MEM 112.093750 1732392298.9179
MEM 112.093750 1732392299.0232
MEM 114.468750 1732392299.1283
MEM 115.625000 1732392299.2334
MEM 117.875000 1732392299.3384
MEM 119.000000 1732392299.4435
MEM 120.125000 1732392299.5486
MEM 122.375000 1732392299.6537
MEM 123.500000 1732392299.7570
MEM 124.703125 1732392299.8621
MEM 126.531250 1732392299.9672
MEM 126.390625 1732392300.0717
MEM 128.937500 1732392300.1720
MEM 129.796875 1732392300.2748
MEM 110.359375 1732392300.3775
MEM 107.875000 1732392300.4826
MEM 103.796875 1732392300.5878
MEM 103.765625 1732392300.6929
MEM 105.968750 1732392300.7980
MEM 105.140625 1732392300.9030
MEM 108.062500 1732392301.0081
MEM 106.171875 1732392301.1132
MEM 107.656250 1732392301.2182
MEM 108.781250 1732392301.3233
MEM 111.062500 1732392301.4284
MEM 112.187500 1732392301.5304
MEM 114.437500 1732392301.6309
MEM 115.562500 1732392301.7360
MEM 117.843750 1732392301.8411
MEM 115.375000 1732392301.9463
MEM 117.703125 1732392302.0513
MEM 111.187500 1732392302.1551
MEM 98.500000 1732392302.2557
MEM 87.015625 1732392302.3599
MEM 87.234375 1732392302.4638
MEM 88.671875 1732392302.5645
MEM 87.781250 1732392302.6686
MEM 70.328125 1732392302.7692
MEM 65.890625 1732392302.8730
MEM 66.812500 1732392302.9781
MEM 69.375000 1732392303.0807
MEM 74.125000 1732392303.1826
MEM 79.687500 1732392303.2836
MEM 80.843750 1732392303.3839
MEM 83.843750 1732392303.4891
MEM 86.453125 1732392303.5943
MEM 89.890625 1732392303.6944
MEM 94.140625 1732392303.7945
MEM 97.140625 1732392303.8998
MEM 99.296875 1732392304.0003
MEM 99.718750 1732392304.1055
MEM 101.218750 1732392304.2108
MEM 99.406250 1732392304.3159
MEM 103.265625 1732392304.4210
MEM 107.078125 1732392304.5263
MEM 110.796875 1732392304.6314
MEM 111.843750 1732392304.7327
MEM 115.875000 1732392304.8354
MEM 108.484375 1732392304.9404
MEM 105.281250 1732392305.0428
MEM 99.671875 1732392305.1455
MEM 101.968750 1732392305.2462
MEM 104.312500 1732392305.3478
MEM 98.406250 1732392305.4484
MEM 102.734375 1732392305.5487
MEM 105.921875 1732392305.6521
MEM 108.859375 1732392305.7545
MEM 114.515625 1732392305.8596
MEM 118.671875 1732392305.9650
MEM 118.718750 1732392306.0659
MEM 121.656250 1732392306.1663
MEM 124.265625 1732392306.2669
MEM 126.859375 1732392306.3722
MEM 117.484375 1732392306.4767
MEM 120.000000 1732392306.5818
MEM 123.218750 1732392306.6819
MEM 124.796875 1732392306.7873
MEM 124.890625 1732392306.8925
MEM 129.140625 1732392306.9976
MEM 133.281250 1732392307.1027
MEM 137.437500 1732392307.2047
MEM 140.125000 1732392307.3098
MEM 147.375000 1732392307.4149
MEM 144.937500 1732392307.5200
MEM 147.015625 1732392307.6251
MEM 151.812500 1732392307.7303
MEM 154.562500 1732392307.8356
MEM 158.796875 1732392307.9407
MEM 161.984375 1732392308.0417
MEM 164.000000 1732392308.1468
MEM 168.046875 1732392308.2477
MEM 167.718750 1732392308.3530
MEM 168.281250 1732392308.4580
MEM 170.625000 1732392308.5633
MEM 175.265625 1732392308.6684
MEM 176.328125 1732392308.7735
MEM 176.406250 1732392308.8786
MEM 179.421875 1732392308.9837
MEM 175.625000 1732392309.0863
MEM 177.406250 1732392309.1914
MEM 180.296875 1732392309.2965
MEM 181.625000 1732392309.4017
MEM 185.671875 1732392309.5068
MEM 184.125000 1732392309.6119
MEM 181.484375 1732392309.7170
MEM 171.296875 1732392309.8223
MEM 175.281250 1732392309.9275
MEM 165.859375 1732392310.0279
MEM 160.500000 1732392310.1331
MEM 162.078125 1732392310.2382
MEM 168.593750 1732392310.3425
MEM 170.250000 1732392310.4470
MEM 173.375000 1732392310.5510
MEM 180.031250 1732392310.6553
MEM 184.765625 1732392310.7590
MEM 190.515625 1732392310.8615
MEM 195.046875 1732392310.9664
MEM 197.156250 1732392311.0717
MEM 200.656250 1732392311.1752
MEM 202.734375 1732392311.2803
MEM 206.953125 1732392311.3857
MEM 210.703125 1732392311.4896
MEM 212.937500 1732392311.5948
MEM 214.515625 1732392311.6993
MEM 213.609375 1732392311.8044
MEM 217.281250 1732392311.9096
MEM 220.968750 1732392312.0146
MEM 223.531250 1732392312.1197
MEM 229.671875 1732392312.2248
MEM 233.171875 1732392312.3299
MEM 234.734375 1732392312.4301
MEM 240.015625 1732392312.5323
MEM 243.546875 1732392312.6376
MEM 246.046875 1732392312.7399
MEM 250.375000 1732392312.8451
MEM 253.390625 1732392312.9502
MEM 257.218750 1732392313.0553
MEM 261.421875 1732392313.1605
MEM 265.875000 1732392313.2658
MEM 267.656250 1732392313.3688
MEM 268.921875 1732392313.4739
MEM 270.046875 1732392313.5791
MEM 272.781250 1732392313.6802
MEM 272.750000 1732392313.7804
MEM 276.812500 1732392313.8855
MEM 276.625000 1732392313.9864
MEM 268.031250 1732392314.0918
MEM 271.187500 1732392314.1946
MEM 273.125000 1732392314.2948
MEM 275.828125 1732392314.3999
MEM 280.421875 1732392314.5051
MEM 281.015625 1732392314.6070
